year,team,win_percent,wins,losses
2017-18,ATL,0.293,24,58
2016-17,ATL,0.524,43,39
2015-16,ATL,0.585,48,34
2014-15,ATL,0.732,60,22
2013-14,ATL,0.46299999999999997,38,44
2012-13,ATL,0.537,44,38
2011-12 ,ATL,0.606,40,26
2010-11,ATL,0.537,44,38
2009-10,ATL,0.6459999999999999,53,29
2008-09,ATL,0.573,47,35
2007-08,ATL,0.451,37,45
2006-07,ATL,0.366,30,52
2005-06,ATL,0.317,26,56
2004-05,ATL,0.159,13,69
2003-04,ATL,0.341,28,54
2002-03,ATL,0.42700000000000005,35,47
2001-02,ATL,0.402,33,49
2000-01,ATL,0.305,25,57
1999-00,ATL,0.341,28,54
1998-99 ,ATL,0.62,31,19
1997-98,ATL,0.61,50,32
1996-97,ATL,0.6829999999999999,56,26
1995-96,ATL,0.561,46,36
1994-95,ATL,0.512,42,40
1993-94,ATL,0.695,57,25
1992-93,ATL,0.524,43,39
1991-92,ATL,0.46299999999999997,38,44
1990-91,ATL,0.524,43,39
1989-90,ATL,0.5,41,41
1988-89,ATL,0.634,52,30
1987-88,ATL,0.61,50,32
1986-87,ATL,0.695,57,25
1985-86,ATL,0.61,50,32
1984-85,ATL,0.415,34,48
1983-84,ATL,0.488,40,42
1982-83,ATL,0.524,43,39
1981-82,ATL,0.512,42,40
1980-81,ATL,0.37799999999999995,31,51
2017-18,BOS,0.6709999999999999,55,27
2016-17,BOS,0.6459999999999999,53,29
2015-16,BOS,0.585,48,34
2014-15,BOS,0.488,40,42
2013-14,BOS,0.305,25,57
2012-13,BOS,0.506,41,40
2011-12 ,BOS,0.591,39,27
2010-11,BOS,0.6829999999999999,56,26
2009-10,BOS,0.61,50,32
2008-09,BOS,0.7559999999999999,62,20
2007-08,BOS,0.805,66,16
2006-07,BOS,0.293,24,58
2005-06,BOS,0.402,33,49
2004-05,BOS,0.5489999999999999,45,37
2003-04,BOS,0.439,36,46
2002-03,BOS,0.537,44,38
2001-02,BOS,0.598,49,33
2000-01,BOS,0.439,36,46
1999-00,BOS,0.42700000000000005,35,47
1998-99 ,BOS,0.38,19,31
1997-98,BOS,0.439,36,46
1996-97,BOS,0.183,15,67
1995-96,BOS,0.402,33,49
1994-95,BOS,0.42700000000000005,35,47
1993-94,BOS,0.39,32,50
1992-93,BOS,0.585,48,34
1991-92,BOS,0.622,51,31
1990-91,BOS,0.6829999999999999,56,26
1989-90,BOS,0.634,52,30
1988-89,BOS,0.512,42,40
1987-88,BOS,0.695,57,25
1986-87,BOS,0.72,59,23
1985-86,BOS,0.8170000000000001,67,15
1984-85,BOS,0.768,63,19
1983-84,BOS,0.7559999999999999,62,20
1982-83,BOS,0.6829999999999999,56,26
1981-82,BOS,0.768,63,19
1980-81,BOS,0.7559999999999999,62,20
2017-18,BRK,0.341,28,54
2016-17,BRK,0.244,20,62
2015-16,BRK,0.256,21,61
2014-15,BRK,0.46299999999999997,38,44
2013-14,BRK,0.537,44,38
2012-13,BRK,0.598,49,33
2011-12 ,BRK,0.33299999999999996,22,44
2010-11,BRK,0.293,24,58
2009-10,BRK,0.146,12,70
2008-09,BRK,0.415,34,48
2007-08,BRK,0.415,34,48
2006-07,BRK,0.5,41,41
2005-06,BRK,0.598,49,33
2004-05,BRK,0.512,42,40
2003-04,BRK,0.573,47,35
2002-03,BRK,0.598,49,33
2001-02,BRK,0.634,52,30
2000-01,BRK,0.317,26,56
1999-00,BRK,0.37799999999999995,31,51
1998-99 ,BRK,0.32,16,34
1997-98,BRK,0.524,43,39
1996-97,BRK,0.317,26,56
1995-96,BRK,0.366,30,52
1994-95,BRK,0.366,30,52
1993-94,BRK,0.5489999999999999,45,37
1992-93,BRK,0.524,43,39
1991-92,BRK,0.488,40,42
1990-91,BRK,0.317,26,56
1989-90,BRK,0.207,17,65
1988-89,BRK,0.317,26,56
1987-88,BRK,0.23199999999999998,19,63
1986-87,BRK,0.293,24,58
1985-86,BRK,0.47600000000000003,39,43
1984-85,BRK,0.512,42,40
1983-84,BRK,0.5489999999999999,45,37
1982-83,BRK,0.598,49,33
1981-82,BRK,0.537,44,38
1980-81,BRK,0.293,24,58
2017-18,CHA,0.439,36,46
2016-17,CHA,0.439,36,46
2015-16,CHA,0.585,48,34
2014-15,CHA,0.402,33,49
2013-14,CHA,0.524,43,39
2012-13,CHA,0.256,21,61
2011-12 ,CHA,0.106,7-,9
2010-11,CHA,0.415,34,48
2009-10,CHA,0.537,44,38
2008-09,CHA,0.42700000000000005,35,47
2007-08,CHA,0.39,32,50
2006-07,CHA,0.402,33,49
2005-06,CHA,0.317,26,56
2004-05,CHA,0.22,18,64
2001-02,CHA,0.537,44,38
2000-01,CHA,0.561,46,36
1999-00,CHA,0.598,49,33
1998-99 ,CHA,0.52,26,24
1997-98,CHA,0.622,51,31
1996-97,CHA,0.659,54,28
1995-96,CHA,0.5,41,41
1994-95,CHA,0.61,50,32
1993-94,CHA,0.5,41,41
