id,player,height,weight,college,born,birth_city,birth_state,first_name,last_name
0,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana,Cliff,Barker
1,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky,Ralph,Beard
2,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho,Charlie,Black
3,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania,Nelson,Bobb
4,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey,Jake,Bornheimer
5,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana,Vince,Boryla
6,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan,Don,Boven
7,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York,Harry,Boykoff
8,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma,Joe,Bradley
9,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York,Carl,Braun
10,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana,Frankie,Brian
11,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas,Price,Brookfield
12,Bob Brown,193,92,Miami University,1923,Versailles,Ohio,Bob,Brown
13,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey,Walt,Budko
14,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey,Tommy,Byrnes
15,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California,Bill,Calhoun
16,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota,Don,Carlson
17,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana,Leroy,Chollet
18,Bill Closs,196,88,Rice University,1922,Edge,Texas,Bill,Closs
19,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky,Jack,Coleman
20,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana,Jack,Cotton
21,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee,Dillard,Crocker
22,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania,Chink,Crossin
23,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois,Fran,Curran
24,Bob Davies,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania,Bob,Davies
25,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia,Hook,Dillon
26,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado,Bob,Doll
27,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey,Harry,Donovan
