Year,Team,Record,Wins,Losses,Win%
2017-18,ATL,24-58,24,58,0.293
2016-17,ATL,43-39,43,39,0.524
2015-16,ATL,48-34,48,34,0.585
2014-15,ATL,60-22,60,22,0.732
2013-14,ATL,38-44,38,44,0.463
2012-13,ATL,44-38,44,38,0.537
2011-12 *,ATL,40-26,40,26,0.606
2010-11,ATL,44-38,44,38,0.537
2009-10,ATL,53-29,53,29,0.646
2008-09,ATL,47-35,47,35,0.573
2007-08,ATL,37-45,37,45,0.451
2006-07,ATL,30-52,30,52,0.366
2005-06,ATL,26-56,26,56,0.317
2004-05,ATL,13-69,13,69,0.159
2003-04,ATL,28-54,28,54,0.341
2002-03,ATL,35-47,35,47,0.427
2001-02,ATL,33-49,33,49,0.402
2000-01,ATL,25-57,25,57,0.305
1999-00,ATL,28-54,28,54,0.341
1998-99 *,ATL,31-19,31,19,0.62
1997-98,ATL,50-32,50,32,0.61
1996-97,ATL,56-26,56,26,0.683
1995-96,ATL,46-36,46,36,0.561
1994-95,ATL,42-40,42,40,0.512
1993-94,ATL,57-25,57,25,0.695
1992-93,ATL,43-39,43,39,0.524
1991-92,ATL,38-44,38,44,0.463
1990-91,ATL,43-39,43,39,0.524
1989-90,ATL,41-41,41,41,0.5
1988-89,ATL,52-30,52,30,0.634
1987-88,ATL,50-32,50,32,0.61
1986-87,ATL,57-25,57,25,0.695
1985-86,ATL,50-32,50,32,0.61
1984-85,ATL,34-48,34,48,0.415
1983-84,ATL,40-42,40,42,0.488
1982-83,ATL,43-39,43,39,0.524
1981-82,ATL,42-40,42,40,0.512
1980-81,ATL,31-51,31,51,0.378
2017-18,BOS,55-27,55,27,0.671
2016-17,BOS,53-29,53,29,0.646
2015-16,BOS,48-34,48,34,0.585
2014-15,BOS,40-42,40,42,0.488
2013-14,BOS,25-57,25,57,0.305
2012-13,BOS,41-40,41,40,0.506
2011-12 *,BOS,39-27,39,27,0.591
2010-11,BOS,56-26,56,26,0.683
2009-10,BOS,50-32,50,32,0.61
2008-09,BOS,62-20,62,20,0.756
2007-08,BOS,66-16,66,16,0.805
2006-07,BOS,24-58,24,58,0.293
2005-06,BOS,33-49,33,49,0.402
2004-05,BOS,45-37,45,37,0.549
2003-04,BOS,36-46,36,46,0.439
2002-03,BOS,44-38,44,38,0.537
2001-02,BOS,49-33,49,33,0.598
2000-01,BOS,36-46,36,46,0.439
1999-00,BOS,35-47,35,47,0.427
1998-99 *,BOS,19-31,19,31,0.38
1997-98,BOS,36-46,36,46,0.439
1996-97,BOS,15-67,15,67,0.183
1995-96,BOS,33-49,33,49,0.402
1994-95,BOS,35-47,35,47,0.427
1993-94,BOS,32-50,32,50,0.39
1992-93,BOS,48-34,48,34,0.585
1991-92,BOS,51-31,51,31,0.622
1990-91,BOS,56-26,56,26,0.683
1989-90,BOS,52-30,52,30,0.634
1988-89,BOS,42-40,42,40,0.512
1987-88,BOS,57-25,57,25,0.695
1986-87,BOS,59-23,59,23,0.72
1985-86,BOS,67-15,67,15,0.817
1984-85,BOS,63-19,63,19,0.768
1983-84,BOS,62-20,62,20,0.756
1982-83,BOS,56-26,56,26,0.683
1981-82,BOS,63-19,63,19,0.768
1980-81,BOS,62-20,62,20,0.756
2017-18,BRK,28-54,28,54,0.341
2016-17,BRK,20-62,20,62,0.244
2015-16,BRK,21-61,21,61,0.256
2014-15,BRK,38-44,38,44,0.463
2013-14,BRK,44-38,44,38,0.537
2012-13,BRK,49-33,49,33,0.598
2011-12 *,BRK,22-44,22,44,0.333
2010-11,BRK,24-58,24,58,0.293
2009-10,BRK,Dec-70,Dec-70,,0.146
2008-09,BRK,34-48,34,48,0.415
2007-08,BRK,34-48,34,48,0.415
2006-07,BRK,41-41,41,41,0.5
2005-06,BRK,49-33,49,33,0.598
2004-05,BRK,42-40,42,40,0.512
2003-04,BRK,47-35,47,35,0.573
2002-03,BRK,49-33,49,33,0.598
2001-02,BRK,52-30,52,30,0.634
2000-01,BRK,26-56,26,56,0.317
1999-00,BRK,31-51,31,51,0.378
1998-99 *,BRK,16-34,16,34,0.32
1997-98,BRK,43-39,43,39,0.524
1996-97,BRK,26-56,26,56,0.317
1995-96,BRK,30-52,30,52,0.366
1994-95,BRK,30-52,30,52,0.366
1993-94,BRK,45-37,45,37,0.549
1992-93,BRK,43-39,43,39,0.524
1991-92,BRK,40-42,40,42,0.488
1990-91,BRK,26-56,26,56,0.317
1989-90,BRK,17-65,17,65,0.207
1988-89,BRK,26-56,26,56,0.317
1987-88,BRK,19-63,19,63,0.232
1986-87,BRK,24-58,24,58,0.293
1985-86,BRK,39-43,39,43,0.476
1984-85,BRK,42-40,42,40,0.512
1983-84,BRK,45-37,45,37,0.549
1982-83,BRK,49-33,49,33,0.598
1981-82,BRK,44-38,44,38,0.537
