,year,team,record,win%
0,2017-18,Hawks,24-58,0.293
1,2016-17,Hawks,43-39,0.524
2,2015-16,Hawks,48-34,0.585
3,2014-15,Hawks,60-22,0.732
4,2013-14,Hawks,38-44,0.46299999999999997
5,2012-13,Hawks,44-38,0.537
6,2011-12 *,Hawks,40-26,0.606
7,2010-11,Hawks,44-38,0.537
8,2009-10,Hawks,53-29,0.6459999999999999
9,2008-09,Hawks,47-35,0.573
10,2007-08,Hawks,37-45,0.451
11,2006-07,Hawks,30-52,0.366
12,2005-06,Hawks,26-56,0.317
13,2004-05,Hawks,13-69,0.159
14,2003-04,Hawks,28-54,0.341
15,2002-03,Hawks,35-47,0.42700000000000005
16,2001-02,Hawks,33-49,0.402
17,2000-01,Hawks,25-57,0.305
18,1999-00,Hawks,28-54,0.341
19,1998-99 *,Hawks,31-19,0.62
20,1997-98,Hawks,50-32,0.61
21,1996-97,Hawks,56-26,0.6829999999999999
22,1995-96,Hawks,46-36,0.561
23,1994-95,Hawks,42-40,0.512
24,1993-94,Hawks,57-25,0.695
25,1992-93,Hawks,43-39,0.524
26,1991-92,Hawks,38-44,0.46299999999999997
27,1990-91,Hawks,43-39,0.524
28,1989-90,Hawks,41-41,0.5
29,1988-89,Hawks,52-30,0.634
30,1987-88,Hawks,50-32,0.61
31,1986-87,Hawks,57-25,0.695
32,1985-86,Hawks,50-32,0.61
33,1984-85,Hawks,34-48,0.415
34,1983-84,Hawks,40-42,0.488
35,1982-83,Hawks,43-39,0.524
36,1981-82,Hawks,42-40,0.512
37,1980-81,Hawks,31-51,0.37799999999999995
38,2017-18,Celtics,55-27,0.6709999999999999
39,2016-17,Celtics,53-29,0.6459999999999999
40,2015-16,Celtics,48-34,0.585
41,2014-15,Celtics,40-42,0.488
42,2013-14,Celtics,25-57,0.305
43,2012-13,Celtics,41-40,0.506
44,2011-12 *,Celtics,39-27,0.591
45,2010-11,Celtics,56-26,0.6829999999999999
46,2009-10,Celtics,50-32,0.61
47,2008-09,Celtics,62-20,0.7559999999999999
48,2007-08,Celtics,66-16,0.805
49,2006-07,Celtics,24-58,0.293
50,2005-06,Celtics,33-49,0.402
51,2004-05,Celtics,45-37,0.5489999999999999
52,2003-04,Celtics,36-46,0.439
53,2002-03,Celtics,44-38,0.537
54,2001-02,Celtics,49-33,0.598
55,2000-01,Celtics,36-46,0.439
56,1999-00,Celtics,35-47,0.42700000000000005
57,1998-99 *,Celtics,19-31,0.38
58,1997-98,Celtics,36-46,0.439
59,1996-97,Celtics,15-67,0.183
60,1995-96,Celtics,33-49,0.402
61,1994-95,Celtics,35-47,0.42700000000000005
62,1993-94,Celtics,32-50,0.39
63,1992-93,Celtics,48-34,0.585
64,1991-92,Celtics,51-31,0.622
65,1990-91,Celtics,56-26,0.6829999999999999
66,1989-90,Celtics,52-30,0.634
67,1988-89,Celtics,42-40,0.512
68,1987-88,Celtics,57-25,0.695
69,1986-87,Celtics,59-23,0.72
70,1985-86,Celtics,67-15,0.8170000000000001
71,1984-85,Celtics,63-19,0.768
72,1983-84,Celtics,62-20,0.7559999999999999
73,1982-83,Celtics,56-26,0.6829999999999999
74,1981-82,Celtics,63-19,0.768
75,1980-81,Celtics,62-20,0.7559999999999999
76,2017-18,Nets,28-54,0.341
77,2016-17,Nets,20-62,0.244
78,2015-16,Nets,21-61,0.256
79,2014-15,Nets,38-44,0.46299999999999997
80,2013-14,Nets,44-38,0.537
81,2012-13,Nets,49-33,0.598
82,2011-12 *,Nets,22-44,0.33299999999999996
83,2010-11,Nets,24-58,0.293
84,2009-10,Nets,12-70,0.146
85,2008-09,Nets,34-48,0.415
86,2007-08,Nets,34-48,0.415
87,2006-07,Nets,41-41,0.5
88,2005-06,Nets,49-33,0.598
89,2004-05,Nets,42-40,0.512
90,2003-04,Nets,47-35,0.573
91,2002-03,Nets,49-33,0.598
92,2001-02,Nets,52-30,0.634
93,2000-01,Nets,26-56,0.317
94,1999-00,Nets,31-51,0.37799999999999995
95,1998-99 *,Nets,16-34,0.32
96,1997-98,Nets,43-39,0.524
97,1996-97,Nets,26-56,0.317
98,1995-96,Nets,30-52,0.366
99,1994-95,Nets,30-52,0.366
100,1993-94,Nets,45-37,0.5489999999999999
101,1992-93,Nets,43-39,0.524
102,1991-92,Nets,40-42,0.488
103,1990-91,Nets,26-56,0.317
104,1989-90,Nets,17-65,0.207
105,1988-89,Nets,26-56,0.317
106,1987-88,Nets,19-63,0.23199999999999998
107,1986-87,Nets,24-58,0.293
108,1985-86,Nets,39-43,0.47600000000000003
109,1984-85,Nets,42-40,0.512
110,1983-84,Nets,45-37,0.5489999999999999
111,1982-83,Nets,49-33,0.598
112,1981-82,Nets,44-38,0.537
113,1980-81,Nets,24-58,0.293
114,2017-18,Hornets,36-46,0.439
115,2016-17,Hornets,36-46,0.439
116,2015-16,Hornets,48-34,0.585
117,2014-15,Hornets,33-49,0.402
118,2013-14,Bobcats,43-39,0.524
119,2012-13,Bobcats,21-61,0.256
120,2011-12 *,Bobcats,7-59,0.106
121,2010-11,Bobcats,34-48,0.415
122,2009-10,Bobcats,44-38,0.537
123,2008-09,Bobcats,35-47,0.42700000000000005
124,2007-08,Bobcats,32-50,0.39
125,2006-07,Bobcats,33-49,0.402
126,2005-06,Bobcats,26-56,0.317
127,2004-05,Bobcats,18-64,0.22
128,2001-02,Hornets,44-38,0.537
129,2000-01,Hornets,46-36,0.561
130,1999-00,Hornets,49-33,0.598
131,1998-99 *,Hornets,26-24,0.52
132,1997-98,Hornets,51-31,0.622
133,1996-97,Hornets,54-28,0.659
134,1995-96,Hornets,41-41,0.5
135,1994-95,Hornets,50-32,0.61
136,1993-94,Hornets,41-41,0.5
137,1992-93,Hornets,44-38,0.537
138,1991-92,Hornets,31-51,0.37799999999999995
139,1990-91,Hornets,26-56,0.317
140,1989-90,Hornets,19-63,0.23199999999999998
141,1988-89,Hornets,20-62,0.244
142,2017-18,Bulls,27-55,0.32899999999999996
143,2016-17,Bulls,41-41,0.5
144,2015-16,Bulls,42-40,0.512
145,2014-15,Bulls,50-32,0.61
146,2013-14,Bulls,48-34,0.585
147,2012-13,Bulls,45-37,0.5489999999999999
148,2011-12 *,Bulls,50-16,0.758
149,2010-11,Bulls,62-20,0.7559999999999999
150,2009-10,Bulls,41-41,0.5
151,2008-09,Bulls,41-41,0.5
152,2007-08,Bulls,33-49,0.402
153,2006-07,Bulls,49-33,0.598
154,2005-06,Bulls,41-41,0.5
155,2004-05,Bulls,47-35,0.573
156,2003-04,Bulls,23-59,0.28
157,2002-03,Bulls,30-52,0.366
158,2001-02,Bulls,21-61,0.256
159,2000-01,Bulls,15-67,0.183
160,1999-00,Bulls,17-65,0.207
161,1998-99 *,Bulls,13-37,0.26
162,1997-98,Bulls,62-20,0.7559999999999999
163,1996-97,Bulls,69-13,0.841
164,1995-96,Bulls,72-10,0.878
165,1994-95,Bulls,47-35,0.573
166,1993-94,Bulls,55-27,0.6709999999999999
167,1992-93,Bulls,57-25,0.695
168,1991-92,Bulls,67-15,0.8170000000000001
169,1990-91,Bulls,61-21,0.7440000000000001
170,1989-90,Bulls,55-27,0.6709999999999999
171,1988-89,Bulls,47-35,0.573
172,1987-88,Bulls,50-32,0.61
173,1986-87,Bulls,40-42,0.488
174,1985-86,Bulls,30-52,0.366
175,1984-85,Bulls,38-44,0.46299999999999997
176,1983-84,Bulls,27-55,0.32899999999999996
177,1982-83,Bulls,28-54,0.341
178,1981-82,Bulls,34-48,0.415
179,1980-81,Bulls,45-37,0.5489999999999999
180,2017-18,Cavaliers,50-32,0.61
181,2016-17,Cavaliers,51-31,0.622
182,2015-16,Cavaliers,57-25,0.695
183,2014-15,Cavaliers,53-29,0.6459999999999999
184,2013-14,Cavaliers,33-49,0.402
185,2012-13,Cavaliers,24-58,0.293
186,2011-12 *,Cavaliers,21-45,0.318
187,2010-11,Cavaliers,19-63,0.23199999999999998
188,2009-10,Cavaliers,61-21,0.7440000000000001
189,2008-09,Cavaliers,66-16,0.805
